FID,LAD22CD,LAD22NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E06000001,Hartlepool,447160,531474,-1.27018,54.67614,96607268.5311737,50737.9098442795,0c2caf9e-a186-4be5-81a1-ff4fcc433ee5
2,E06000002,Middlesbrough,451141,516887,-1.21099,54.54467,55230925.9235535,35500.2899879195,d8f66fd8-675d-4281-9135-fed1eb03c050
3,E06000003,Redcar and Cleveland,464361,519597,-1.00608,54.56752,248289166.844574,85092.5324924677,18448935-5fd0-405d-9a10-f45369a5ec18
4,E06000004,Stockton-on-Tees,444940,518183,-1.30664,54.55691,205216887.41275,88846.5766044065,415688c3-c6d2-432e-b92b-015797493736
5,E06000005,Darlington,428029,515648,-1.56835,54.53534,198811930.495239,91926.5397624121,2ef3ee9b-b57d-4488-b1cd-df2cabb46449
6,E06000006,Halton,354246,382146,-2.68853,53.33424,80374511.3342972,67035.6072432394,77375ecd-f612-4ea6-839e-e395b7939b36
7,E06000007,Warrington,362744,388456,-2.56167,53.39163,178559431.457207,72275.5255247822,8f7d63a2-9834-4b14-82fc-102931442ed0
8,E06000008,Blackburn with Darwen,369490,422806,-2.4636,53.7008,139386373.73761,55099.1507003377,c1ca7427-2afc-4072-842b-360ce36ef6d4
9,E06000009,Blackpool,332819,436635,-3.02199,53.82164,33560284.3392181,29842.0467813647,53af5c49-b122-4c00-acf5-cd9881842db2
10,E06000010,"Kingston upon Hull, City of",511894,431650,-0.30382,53.7692,70875062.3698273,40935.1829504759,ec689e00-d343-49b7-8d4c-f7492dd724f6
11,E06000011,East Riding of Yorkshire,488056,443597,-0.66195,53.88112,2407837270.69218,344633.021674623,d1d3f769-4162-44f8-a03d-f37d13254120
12,E06000012,North East Lincolnshire,523465,404564,-0.13911,53.52327,190561609.061356,78299.1136658372,93646c12-99f1-4ddf-b1af-13a7b4f52d90
13,E06000013,North Lincolnshire,497800,410993,-0.52407,53.58643,849079707.770065,183044.892871652,0bc6b084-3682-4dbf-beba-a1ecaea45f1d
14,E06000014,York,460864,452589,-1.07375,53.96582,275329708.969635,84242.7525994526,9b08b382-c47d-4230-8908-99ac65b82925
15,E06000015,Derby,435609,335375,-1.47189,52.91464,78270268.2160492,40201.8369858684,a0a0c766-cd7b-4089-a916-4b129d5c32eb
16,E06000016,Leicester,458946,304594,-1.1304,52.63592,73589165.1551971,40830.2301887663,661bd6cd-cedd-4858-b7de-53aee7e492e9
17,E06000017,Rutland,492992,308655,-0.6263,52.66765,391236167.880722,96479.7968339204,5087b291-6f1e-4cf1-a31c-1ef138da0214
18,E06000018,Nottingham,456082,339969,-1.16667,52.95419,75870408.9552002,49574.8901430337,81764ac8-71ff-4f10-9301-4aa387463f9c
19,E06000019,"Herefordshire, County of",349434,242834,-2.73931,52.08154,2180535242.10474,285423.207022993,8ea0e988-9e0d-4a75-8d5a-68eab824b185
20,E06000020,Telford and Wrekin,367035,313057,-2.48941,52.71417,291803346.062859,93575.5081693578,4c0a2a57-ad67-42c0-a0e7-9804da3d5c06
21,E06000021,Stoke-on-Trent,389438,346652,-2.15888,53.01707,92988898.0326004,51303.9763566544,1b965abe-f64f-4900-9593-a199ed11fa91
22,E06000022,Bath and North East Somerset,366217,161999,-2.48654,51.35604,348611816.21056,107062.696328706,098aefb2-94b2-49cf-8f53-2852e10a615f
23,E06000023,"Bristol, City of",359990,174846,-2.57742,51.47115,111321247.09568,77590.2264979277,87ea070c-0f4e-4b51-99db-722e7b120ef1
24,E06000024,North Somerset,347614,166718,-2.75438,51.39706,373571730.39901,114738.998169323,37abac09-8c72-4b20-9510-f153de1f8f30
25,E06000025,South Gloucestershire,367559,183198,-2.46922,51.54673,500483844.765163,114719.593974583,49e20eac-79fe-4819-bae6-a4a5ec40c196
26,E06000026,Plymouth,249945,58255,-4.11297,50.40494,81990937.2854958,56400.7779554122,0b1c45b8-da62-417f-ba6b-237a0ee9e24e
27,E06000027,Torbay,289730,64613,-3.55523,50.47092,65488457.4957266,55444.3423163654,34b7c5d3-e9f2-48d6-8939-6f75637ad7df
28,E06000030,Swindon,418551,186564,-1.73367,51.57763,227716487.290901,83669.7474148242,0a9bbb59-0a5b-4dc2-8b45-646af75b110a
29,E06000031,Peterborough,517372,300777,-0.26874,52.59214,341526539.430695,97208.3826482827,5dddee0c-6ec9-4188-b0f4-ce864e5cbed6
30,E06000032,Luton,508606,222559,-0.42319,51.89102,44068117.7992706,30772.5559397546,e939979e-227d-4290-9673-515f301eca53
31,E06000033,Southend-on-Sea,587777,186837,0.706923,51.54917,44407807.2787857,33038.5577183714,0dbad113-391f-447f-8093-290216e0e7fc
32,E06000034,Thurrock,562123,181590,0.334861,51.50998,161607747.366356,73501.3032860924,ee0ebff3-6a3d-40ab-a6c3-3817b06f51a0
33,E06000035,Medway,578207,175198,0.563174,51.44772,190701086.129517,115776.742081311,a0c7686b-e5b6-4d84-ae4f-561700aab652
34,E06000036,Bracknell Forest,488169,168792,-0.73363,51.4113,108233672.335564,57917.0191370737,40cc0149-6ad8-494d-bf61-c939da8c2ffd
35,E06000037,West Berkshire,450575,172095,-1.27364,51.44559,701219073.06353,143114.367335356,b7248088-2379-4383-9ace-3c5d8e50452f
36,E06000038,Reading,470226,173154,-0.99071,51.45302,41325773.8645706,30503.6581771377,9394772a-04a9-4d35-9820-149f7ce3327c
37,E06000039,Slough,498920,179246,-0.57617,51.5035,32202299.0038605,37004.410991067,b4e1c386-fb8b-4d7d-9ed4-afcbf47433ae
38,E06000040,Windsor and Maidenhead,492079,176541,-0.67541,51.48034,197866882.700325,102785.787238975,a8a0820f-162f-44ff-b695-8bcab4507597
39,E06000041,Wokingham,476624,169902,-0.89935,51.42296,179128214.896759,75871.9283701684,6feae1fe-0477-42d6-b931-6563f9234906
40,E06000042,Milton Keynes,486408,242308,-0.7407,52.07241,309327071.285561,87925.1957102168,d3dfca04-71d6-4c2d-a2d6-004212162b65
41,E06000043,Brighton and Hove,530279,106850,-0.15079,50.8465,85541636.4804726,48484.0925242121,33280039-97aa-42cf-a0b0-819d132a2319
42,E06000044,Portsmouth,465619,101352,-1.07006,50.808,38542607.6093063,54663.3952186734,4ea0113a-952d-488b-8a91-56e04c8f76b9
43,E06000045,Southampton,442303,113700,-1.39952,50.9212,51630345.7373047,37973.1530773138,feded5b6-dc88-4f7f-bef2-09297b7cfb4b
44,E06000046,Isle of Wight,447183,85949,-1.33366,50.67129,379785983.256248,114572.04562551,5117fb93-677b-4628-bfc4-99dfa8e896c0
45,E06000047,County Durham,410381,532242,-1.8405,54.68513,2231232702.40916,264025.107042483,1728ca58-2c3a-4b6f-99c0-4e792a2bd815
46,E06000049,Cheshire East,380510,363462,-2.29299,53.16793,1168794653.97684,236391.60221721,655fd145-250f-40e0-829d-9b198e4232eb
47,E06000050,Cheshire West and Chester,353097,363145,-2.70298,53.16336,919483812.843651,226884.212047228,4afc0a4f-7275-4046-b380-43b200ca43a6
48,E06000051,Shropshire,350227,302960,-2.73667,52.62212,3188263381.39314,469625.315115825,f0b05598-1455-46b3-ace9-866e25f010fa
49,E06000052,Cornwall,212497,64493,-4.64254,50.45022,3573834800.86728,561666.103770846,7db3c693-957b-4dfa-a2a5-65f3755d0370
50,E06000053,Isles of Scilly,91327,11447,-6.30217,49.92332,13574584.3039238,40388.2064704666,16b9e820-7cb9-4c09-affb-ba89797a91b0
51,E06000054,Wiltshire,405209,158863,-1.92661,51.32883,3258225563.67435,348942.124904147,e7f0a42c-658a-4193-ab26-27ce008f6686
52,E06000055,Bedford,505721,256463,-0.45463,52.19628,474719272.55294,115792.615220289,a19e5687-868c-46a6-b005-3a3058e5537a
53,E06000056,Central Bedfordshire,504615,234492,-0.47754,51.99903,709157751.560471,200739.438519426,32ea591d-aa91-46ef-a98e-a325e4b75e93
54,E06000057,Northumberland,395322,600700,-2.07523,55.30038,5032155816.44691,445869.980967768,03b9f67b-22a9-48a8-a4d0-0be065bb6f3d
55,E06000058,"Bournemouth, Christchurch and Poole",410815,94066,-1.84807,50.74609,162214515.35461,94581.0157941255,260a6d8f-5d88-47f3-a033-e8f8e1cd465d
56,E06000059,Dorset,370871,99796,-2.41467,50.79697,2489188755.12702,402010.032663945,b79c856c-c134-42bb-b50d-5c3b9c232cb3
57,E06000060,Buckinghamshire,482506,208561,-0.80569,51.76966,1572311700.70705,301444.184136699,9d2678ab-8070-440c-82e9-f2019a68dc97
58,E06000061,North Northamptonshire,493590,281718,-0.62504,52.42546,993517902.086639,173357.214493491,642a5d74-e59e-4647-a6b5-3ed846875d25
59,E06000062,West Northamptonshire,467187,263879,-1.01682,52.26898,1374391045.69333,214647.345860117,8d461be7-dc72-4ac8-b7d4-ca77ab2d87a1
60,E07000008,Cambridge,545420,257901,0.126436,52.20017,40206167.0286865,30617.9932498982,b3622e90-4a31-4721-8785-c1c53718582c
61,E07000009,East Cambridgeshire,555576,275765,0.283149,52.35788,657743069.846176,166638.054583718,e6cf59ba-be5f-4782-a7f5-d745956ab4fc
62,E07000010,Fenland,536361,294959,0.009016,52.53544,548320827.811447,136403.362605862,8b34197f-2d33-4940-9e75-8f8c08afe48e
63,E07000011,Huntingdonshire,521008,274269,-0.2247,52.35315,911218072.958344,193568.311132942,d0fc0444-6180-4a37-a330-004ce676b606
64,E07000012,South Cambridgeshire,543295,247586,0.091017,52.10805,898577989.583626,225222.436634442,075bdd42-2868-4b53-9b6d-f7c3eca980cb
65,E07000026,Allerdale,317520,532997,-3.2809,54.68524,1256052202.05711,206781.149419302,e6e9b854-1a61-4f46-928c-8ca3a83edbfc
66,E07000027,Barrow-in-Furness,321741,474165,-3.1999,54.15731,74093743.448288,86725.6411929702,48797fe9-9e24-4204-a00b-7f919c582f01
67,E07000028,Carlisle,348576,565154,-2.80498,54.97833,1039189007.99496,180857.265134792,c1b0b3a3-45f3-4557-aac5-cafa201ba2eb
68,E07000029,Copeland,310871,508739,-3.37664,54.46617,741784084.937759,140827.357198213,80bf6623-901f-4ca8-888f-e23d38f55046
69,E07000030,Eden,359636,526396,-2.62678,54.63107,2159498948.08194,236152.072184041,5308bd27-a8ab-4eb7-a585-5c94a1f5c7bd
70,E07000031,South Lakeland,349265,489555,-2.78108,54.29908,1557967071.82347,242420.406290344,842f9ae9-d1b6-451e-b7a2-1306ab782747
71,E07000032,Amber Valley,436166,348084,-1.46219,53.02884,267682039.762314,85444.531445109,2ff039cf-0a31-4ac2-a02a-beca575e827c
