code,region,2017,2018,2019,2020,2021,2022
S12000033,Aberdeen City,1225,1200,1190,1155,1120,1140
S12000034,Aberdeenshire,1115,1110,1105,1075,1070,1080
E07000223,Adur,245,225,230,230,240,245
E07000026,Allerdale,415,415,400,390,410,415
E07000032,Amber Valley,520,535,545,540,530,555
S12000041,Angus,360,370,370,350,350,355
N09000001,Antrim and Newtownabbey,490,480,470,480,485,495
N09000011,Ards and North Down,485,495,485,475,470,475
S12000035,Argyll and Bute,380,370,375,365,370,370
N09000002,Armagh City Banbridge and Craigavon,740,755,740,755,785,790
E07000224,Arun,505,515,525,510,530,555
E07000170,Ashfield,415,420,410,405,400,410
E07000105,Ashford,510,520,540,535,535,555
E07000200,Babergh,415,410,420,405,410,420
E09000002,Barking and Dagenham,470,475,490,505,545,520
E09000003,Barnet,1555,1505,1445,1420,1485,1530
E08000016,Barnsley,730,740,755,750,780,770
E07000027,Barrow-in-Furness,200,195,205,195,195,200
E07000066,Basildon,810,850,850,840,875,895
E07000084,Basingstoke and Deane,690,710,725,715,695,720
E07000171,Bassetlaw,435,430,435,435,450,470
E06000022,Bath and North East Somerset,900,935,920,960,980,985
E06000055,Bedford,620,635,650,650,670,705
N09000003,Belfast,1840,1830,1845,1850,1880,1810
E09000004,Bexley,695,665,670,645,680,700
E08000025,Birmingham,4065,4315,3955,3860,4000,4100
E07000129,Blaby,450,445,450,430,435,450
E06000008,Blackburn with Darwen,730,675,695,705,730,735
E06000009,Blackpool,450,450,455,450,455,475
W06000019,Blaenau Gwent,140,140,145,140,145,155
E07000033,Bolsover,325,295,285,295,295,285
E08000001,Bolton,1175,1230,1190,1125,1165,1160
E07000136,Boston,270,260,260,255,260,260
E06000058,Bournemouth Christchurch and Poole,1605,1655,1700,1650,1645,1685
E06000036,Bracknell Forest,450,455,440,435,450,480
E08000032,Bradford,1790,1780,1810,1780,1815,1825
E07000067,Braintree,690,675,680,675,685,695
E07000143,Breckland,500,500,520,515,520,540
E09000005,Brent,1100,1120,1140,1145,1175,1210
E07000068,Brentwood,390,395,390,395,400,415
W06000013,Bridgend,470,465,470,460,485,525
E06000043,Brighton and Hove,1325,1390,1350,1330,1340,1445
E06000023,Bristol City of,2160,2260,2265,2240,2315,2475
E07000144,Broadland,500,495,495,485,500,505
E09000006,Bromley,1030,1025,1020,1040,1030,1050
E07000234,Bromsgrove,725,800,705,565,545,535
E07000095,Broxbourne,355,355,365,365,370,385
E07000172,Broxtowe,365,365,355,320,400,400
E06000060,Buckinghamshire,2580,2590,5190,2590,2590,2690
E07000117,Burnley,360,375,350,335,335,350
E08000002,Bury,770,840,775,715,765,785
W06000018,Caerphilly,480,570,495,495,515,510
E08000033,Calderdale,970,1005,990,915,940,955
E07000008,Cambridge,660,665,685,710,695,730
E09000007,Camden,3720,3720,3755,3710,3785,3975
E07000192,Cannock Chase,395,395,390,385,455,445
E07000106,Canterbury,570,565,575,575,585,625
W06000015,Cardiff,1485,1490,1490,1470,1555,1595
E07000028,Carlisle,495,495,480,480,485,495
W06000010,Carmarthenshire,630,635,640,650,645,640
E07000069,Castle Point,240,250,245,240,245,255
N09000004,Causeway Coast and Glens,500,510,510,500,520,515
E06000056,Central Bedfordshire,1270,1035,1015,975,985,1015
W06000008,Ceredigion,295,295,295,280,300,315
E07000130,Charnwood,740,735,765,770,795,855
E07000070,Chelmsford,730,750,740,745,775,785
E07000078,Cheltenham,625,630,625,585,595,605
E07000177,Cherwell,745,775,785,780,800,820
E06000049,Cheshire East,1970,1940,1960,1935,1925,2000
E06000050,Cheshire West and Chester,1440,1445,1480,1460,1475,1550
E07000034,Chesterfield,480,485,475,475,490,520
E07000225,Chichester,615,615,625,615,650,665
E07000118,Chorley,445,470,445,460,510,490
S12000036,City of Edinburgh,2385,2425,2455,2390,2385,2520
E09000001,City of London,3965,4200,4375,4450,4560,4685
S12000005,Clackmannanshire,125,130,130,125,135,140
E07000071,Colchester,760,785,825,790,780,805
W06000003,Conwy,480,465,455,445,455,465
E07000029,Copeland,165,165,170,155,155,155
E06000052,Cornwall,2595,2600,2625,2550,2615,2715
E07000079,Cotswold,585,605,595,580,600,620
E06000047,County Durham,1555,1550,1630,1605,1625,1665
E08000026,Coventry,1030,1035,1050,1020,1060,1110
E07000163,Craven,335,345,350,350,360,365
E07000226,Crawley,475,480,455,440,455,465
E09000008,Croydon,1040,1055,1045,1000,1060,1075
E07000096,Dacorum,675,670,685,695,725,735
E06000005,Darlington,380,495,390,385,410,415
E07000107,Dartford,425,425,425,430,445,450
W06000004,Denbighshire,405,415,450,415,415,410
E06000015,Derby,930,930,945,940,930,980
E07000035,Derbyshire Dales,450,455,445,440,435,450
N09000005,Derry City and Strabane,535,545,525,540,535,535
E08000017,Doncaster,945,930,930,920,950,970
E06000059,Dorset,1685,1700,1710,1665,1715,1745
E07000108,Dover,340,345,355,350,355,375
E08000027,Dudley,1180,1195,1225,1205,1250,1270
S12000006,Dumfries and Galloway,610,595,605,590,600,635
S12000042,Dundee City,535,535,565,550,545,555
E09000009,Ealing,1300,1300,1305,1260,1320,1295
S12000008,East Ayrshire,330,345,350,335,335,345
E07000009,East Cambridgeshire,350,350,370,355,345,360
E07000040,East Devon,610,600,625,615,635,655
S12000045,East Dunbartonshire,250,255,240,240,240,255
E07000085,East Hampshire,555,570,585,575,590,615
E07000242,East Hertfordshire,865,920,790,715,705,720
E07000137,East Lindsey,530,540,545,540,550,550
S12000010,East Lothian,325,330,340,340,355,365
S12000011,East Renfrewshire,235,225,225,220,220,230
E06000011,East Riding of Yorkshire,1320,1325,1335,1325,1350,1385
E07000193,East Staffordshire,455,470,490,480,490,485
E07000244,East Suffolk,975,1000,990,975,1010,1035
E07000061,Eastbourne,365,345,355,365,365,365
E07000086,Eastleigh,600,585,575,580,570,575
E07000030,Eden,285,290,300,300,300,320
E07000207,Elmbridge,655,660,670,665,690,725
E09000010,Enfield,1055,1050,985,985,1085,1050
E07000072,Epping Forest,640,625,610,615,630,670
E07000208,Epsom and Ewell,275,265,255,250,265,280
E07000036,Erewash,480,485,470,470,495,625
E07000041,Exeter,665,675,635,645,625,640
S12000014,Falkirk,450,450,460,430,430,440
E07000087,Fareham,525,515,535,540,535,530
E07000010,Fenland,310,305,315,320,325,335
N09000006,Fermanagh and Omagh,460,465,460,450,445,490
S12000047,Fife,1105,1075,1070,1040,1050,1090
W06000005,Flintshire,600,605,620,610,610,625
E07000112,Folkestone and Hythe,360,370,370,350,365,390
E07000080,Forest of Dean,305,315,315,310,310,330
E07000119,Fylde,390,375,380,375,385,390
E08000037,Gateshead,825,835,875,800,825,845
E07000173,Gedling,315,315,305,300,305,345
S12000049,Glasgow City,2910,3005,2930,2870,2835,2955
E07000081,Gloucester,505,495,510,515,540,555
E07000088,Gosport,190,180,195,175,180,185
E07000109,Gravesham,305,320,320,320,355,365
E07000145,Great Yarmouth,365,355,355,345,365,370
E09000011,Greenwich,620,630,625,615,620,640
E07000209,Guildford,735,765,760,760,775,810
W06000002,Gwynedd,540,505,530,505,515,545
E09000012,Hackney,1770,1895,2005,1980,2050,2270
E06000006,Halton,530,530,530,515,530,550
E07000164,Hambleton,485,485,480,455,485,495
E09000013,Hammersmith and Fulham,1260,1285,1290,1275,1305,1350
E07000131,Harborough,510,505,500,475,485,520
E09000014,Haringey,735,735,745,770,835,860
E07000073,Harlow,340,345,355,355,380,380
E07000165,Harrogate,860,870,890,885,910,930
E09000015,Harrow,865,870,855,880,930,965
E07000089,Hart,415,400,420,410,400,435
E06000001,Hartlepool,225,240,230,235,250,250
E07000062,Hastings,305,315,315,310,315,330
E07000090,Havant,395,405,405,395,415,415
E09000016,Havering,785,765,770,770,790,815
E06000019,Herefordshire County of,915,900,885,875,885,920
E07000098,Hertsmere,660,665,650,640,640,635
E07000037,High Peak,420,405,410,400,420,435
S12000017,Highland,1080,1110,1130,1085,1110,1185
E09000017,Hillingdon,1150,1165,1210,1185,1185,1235
E07000132,Hinckley and Bosworth,435,425,455,445,440,435
E07000227,Horsham,675,685,680,705,700,725
E09000018,Hounslow,1070,1080,1080,1095,1095,1120
E07000011,Huntingdonshire,775,760,755,755,760,780
E07000120,Hyndburn,315,320,320,335,360,370
S12000018,Inverclyde,195,200,195,195,190,195
E07000202,Ipswich,545,540,540,530,545,565
W06000001,Isle of Anglesey,230,235,230,235,235,245
E06000046,Isle of Wight,570,565,560,545,550,545
E06000053,Isles of Scilly,5,5,5,5,10,10
E09000019,Islington,2270,2370,2440,2380,2420,2480
E09000020,Kensington and Chelsea,1450,1445,1475,1410,1385,1385
E07000146,King's Lynn and West Norfolk,555,545,560,560,560,580
E06000010,Kingston upon Hull City of,1050,1020,1045,1035,1040,1090
E09000021,Kingston upon Thames,645,645,635,620,635,665
E08000034,Kirklees,1745,1745,1750,1750,1745,1785
E08000011,Knowsley,420,430,460,455,455,475
E09000022,Lambeth,1220,1270,1315,1295,1295,1320
E07000121,Lancaster,510,520,530,525,545,560
E08000035,Leeds,3530,3640,3610,3590,3630,3780
E06000016,Leicester,1535,1560,1690,1650,1600,1600
E07000063,Lewes,400,400,405,390,390,400
E09000023,Lewisham,530,545,545,550,550,565
E07000194,Lichfield,505,505,515,480,515,540
E07000138,Lincoln,360,360,380,360,365,370
N09000007,Lisburn and Castlereagh,570,570,570,600,585,590
E08000012,Liverpool,1725,1805,1785,1695,1740,1855
E06000032,Luton,630,595,610,585,620,665
E07000110,Maidstone,735,730,735,715,715,735
E07000074,Maldon,320,315,325,300,315,330
E07000235,Malvern Hills,345,350,365,355,360,370
E08000003,Manchester,2850,2935,2885,2830,2895,3080
E07000174,Mansfield,355,360,360,345,405,405
E06000035,Medway,790,780,770,785,795,840
E07000133,Melton,215,215,215,215,210,220
E07000187,Mendip,565,545,540,515,530,555
W06000024,Merthyr Tydfil,160,160,155,155,145,150
E09000024,Merton,775,770,780,770,785,795
E07000042,Mid Devon,330,330,340,330,330,335
E07000203,Mid Suffolk,450,455,455,440,445,460
E07000228,Mid Sussex,690,700,710,685,710,730
N09000009,Mid Ulster,690,705,720,725,735,750
N09000008,Mid and East Antrim,445,430,415,405,425,440
E06000002,Middlesbrough,385,375,390,395,415,445
S12000019,Midlothian,305,300,310,315,305,320
E06000042,Milton Keynes,1220,1245,1305,1265,1365,1355
E07000210,Mole Valley,475,485,490,470,480,470
W06000021,Monmouthshire,370,380,380,365,365,380
S12000020,Moray,335,335,340,330,335,350
S12000013,Na h-Eileanan Siar,120,125,120,130,130,140
W06000012,Neath Port Talbot,385,385,390,370,385,410
E07000091,New Forest,820,830,845,830,850,860
E07000175,Newark and Sherwood,480,485,480,450,475,510
E08000021,Newcastle upon Tyne,1280,1280,1280,1220,1260,1305
E07000195,Newcastle-under-Lyme,415,415,415,410,415,410
E09000025,Newham,655,685,710,730,775,785
W06000022,Newport,475,580,565,475,475,460
N09000010,Newry Mourne and Down,705,710,720,720,720,760
S12000021,North Ayrshire,355,360,355,345,345,360
E07000043,North Devon,490,480,465,455,470,490
E07000038,North East Derbyshire,350,350,340,335,355,360
E06000012,North East Lincolnshire,600,610,610,605,590,590
E07000099,North Hertfordshire,630,620,625,635,635,655
E07000139,North Kesteven,375,385,380,375,365,390
S12000050,North Lanarkshire,895,905,925,900,965,985
E06000013,North Lincolnshire,615,600,605,595,605,610
E07000147,North Norfolk,445,460,465,450,450,475
E06000061,North Northamptonshire,1320,1310,1475,1420,1345,1370
E06000024,North Somerset,865,860,880,850,840,895
E08000022,North Tyneside,615,620,640,610,630,680
E07000218,North Warwickshire,335,345,340,330,345,350
E07000134,North West Leicestershire,555,545,565,545,530,545
E06000057,Northumberland,1140,1155,1145,1155,1180,1225
E07000148,Norwich,785,795,735,735,745,770
E06000018,Nottingham,1350,1365,1320,1315,1320,1365
E07000219,Nuneaton and Bedworth,415,415,400,400,395,405
E07000135,Oadby and Wigston,205,200,200,200,200,195
E08000004,Oldham,830,840,890,860,860,880
S12000023,Orkney Islands,140,140,150,145,135,140
E07000178,Oxford,730,755,790,755,775,795
W06000009,Pembrokeshire,525,565,565,550,550,545
E07000122,Pendle,335,330,335,335,345,360
S12000048,Perth and Kinross,640,630,640,630,645,670
E06000031,Peterborough,765,750,755,735,765,800
E06000026,Plymouth,810,800,785,775,800,815
E06000044,Portsmouth,690,705,705,660,665,710
W06000023,Powys,555,545,565,540,520,555
E07000123,Preston,665,700,680,670,680,680
E06000038,Reading,770,790,780,770,790,810
E09000026,Redbridge,810,830,780,780,835,860
E06000003,Redcar and Cleveland,335,330,330,320,330,355
E07000236,Redditch,425,435,480,425,405,415
E07000211,Reigate and Banstead,595,585,615,610,610,605
S12000038,Renfrewshire,655,660,635,620,620,635
W06000016,Rhondda Cynon Taf,615,625,625,615,655,645
E07000124,Ribble Valley,300,300,310,320,315,335
E09000027,Richmond upon Thames,900,930,925,900,895,925
E07000166,Richmondshire,245,250,250,235,245,260
E08000005,Rochdale,790,785,810,785,830,825
E07000075,Rochford,325,300,310,310,295,300
E07000125,Rossendale,280,275,285,265,300,315
E07000064,Rother,380,375,360,350,370,375
E08000018,Rotherham,825,845,865,870,890,915
E07000220,Rugby,410,410,405,390,435,410
E07000212,Runnymede,460,450,450,430,425,420
E07000176,Rushcliffe,465,455,445,435,435,465
E07000092,Rushmoor,440,450,440,450,435,450
E06000017,Rutland,190,190,190,190,185,195
E07000167,Ryedale,330,330,335,340,330,345
E08000006,Salford,1035,1080,1085,1075,1085,1170
E08000028,Sandwell,1255,1190,1210,1180,1190,1215
E07000168,Scarborough,510,500,505,490,495,510
S12000026,Scottish Borders,420,420,425,410,405,425
E07000188,Sedgemoor,470,470,470,490,525,710
E08000014,Sefton,825,810,845,825,840,870
E07000169,Selby,320,335,330,335,345,370
E07000111,Sevenoaks,610,600,610,595,600,625
E08000019,Sheffield,2210,2175,2120,2090,2210,2330
S12000027,Shetland Islands,150,145,145,145,135,140
E06000051,Shropshire,1355,1365,1390,1350,1400,1455
E06000039,Slough,640,640,645,635,640,635
E08000029,Solihull,795,785,810,795,800,870
E07000246,Somerset West and Taunton,635,630,640,600,600,610
S12000028,South Ayrshire,410,420,420,410,415,430
E07000012,South Cambridgeshire,875,885,915,905,935,975
E07000039,South Derbyshire,325,330,325,330,345,355
E06000025,South Gloucestershire,1055,1055,1065,1020,1060,1085
E07000044,South Hams,545,540,535,520,535,565
E07000140,South Holland,330,320,320,315,320,330
E07000141,South Kesteven,585,560,560,555,735,650
E07000031,South Lakeland,725,740,725,720,725,720
S12000029,South Lanarkshire,1005,995,1030,1015,1010,1055
E07000149,South Norfolk,465,475,480,485,495,515
E07000179,South Oxfordshire,740,725,735,740,740,740
E07000126,South Ribble,500,520,515,500,500,535
E07000189,South Somerset,680,675,700,680,680,665
E07000196,South Staffordshire,375,370,380,370,430,460
E08000023,South Tyneside,365,365,410,370,375,390
E06000045,Southampton,765,740,725,720,730,765
E06000033,Southend-on-Sea,645,670,610,595,630,650
E09000028,Southwark,2090,2165,2210,2195,2210,2390
E07000213,Spelthorne,360,345,350,335,330,345
E07000240,St Albans,740,740,780,710,740,755
E08000013,St. Helens,570,570,580,590,595,605
E07000197,Stafford,525,525,535,540,550,590
E07000198,Staffordshire Moorlands,295,300,315,315,315,315
E07000243,Stevenage,305,305,320,310,310,320
S12000030,Stirling,425,430,435,420,415,435
E08000007,Stockport,1230,1245,1205,1225,1250,1340
E06000004,Stockton-on-Tees,675,685,675,680,690,705
E06000021,Stoke-on-Trent,895,920,925,900,890,930
E07000221,Stratford-on-Avon,755,780,800,790,825,850
E07000082,Stroud,600,625,615,615,600,615
E08000024,Sunderland,790,785,785,800,800,795
E07000214,Surrey Heath,465,460,450,450,460,485
E09000029,Sutton,605,595,570,570,560,575
E07000113,Swale,480,485,485,485,510,535
W06000011,Swansea,895,875,840,815,825,855
E06000030,Swindon,750,750,740,690,700,730
E08000008,Tameside,700,685,690,675,685,710
E07000199,Tamworth,295,310,315,305,305,310
E07000215,Tandridge,385,380,390,385,380,400
E07000045,Teignbridge,625,650,650,640,650,690
E06000020,Telford and Wrekin,650,655,670,675,670,735
E07000076,Tendring,470,445,450,430,460,480
E07000093,Test Valley,655,660,665,655,660,675
E07000083,Tewkesbury,480,495,490,485,500,520
E07000114,Thanet,390,400,405,395,405,435
E07000102,Three Rivers,435,440,410,420,445,460
E06000034,Thurrock,470,485,520,530,525,540
E07000115,Tonbridge and Malling,610,625,620,635,670,670
E06000027,Torbay,470,460,460,450,465,480
W06000020,Torfaen,300,300,290,290,295,305
E07000046,Torridge,270,260,270,270,275,280
E09000030,Tower Hamlets,1750,1820,1865,1875,1900,1955
E08000009,Trafford,1260,1260,1275,1305,1325,1370
E07000116,Tunbridge Wells,605,600,580,545,545,575
E07000077,Uttlesford,485,475,460,465,470,495
W06000014,Vale of Glamorgan,395,390,385,375,390,415
E07000180,Vale of White Horse,615,635,635,650,680,710
E08000036,Wakefield,1165,1170,1165,1135,1155,1185
E08000030,Walsall,1015,965,950,915,970,955
E09000031,Waltham Forest,655,650,655,645,690,725
E09000032,Wandsworth,1070,1085,1105,1100,1090,1130
E06000007,Warrington,895,900,945,900,935,965
E07000222,Warwick,825,800,800,785,795,830
E07000103,Watford,540,520,525,510,495,535
E07000216,Waverley,685,685,675,655,625,655
E07000065,Wealden,705,700,700,700,695,705
