code,region,2017,2018,2019,2020,2021,2022
S12000033,Aberdeen City,1070,1070,1065,830,860,895
S12000034,Aberdeenshire,1095,1080,1105,845,895,840
E07000223,Adur,275,235,240,250,255,260
E07000026,Allerdale,325,310,305,300,305,270
E07000032,Amber Valley,480,455,455,420,445,525
S12000041,Angus,365,355,350,315,335,325
N09000001,Antrim and Newtownabbey,360,305,325,450,385,305
N09000011,Ards and North Down,475,370,415,390,485,400
S12000035,Argyll and Bute,260,270,265,210,295,265
N09000002,Armagh City Banbridge and Craigavon,725,595,630,585,790,665
E07000224,Arun,600,580,620,610,700,590
E07000170,Ashfield,465,400,395,390,385,405
E07000105,Ashford,695,745,785,700,715,650
E07000200,Babergh,355,365,350,335,365,355
E09000002,Barking and Dagenham,1390,1500,1605,1610,1715,1615
E09000003,Barnet,3825,3570,4235,4030,4570,3650
E08000016,Barnsley,820,880,925,975,1070,960
E07000027,Barrow-in-Furness,220,245,255,180,185,185
E07000066,Basildon,1075,1075,1130,950,1050,995
E07000084,Basingstoke and Deane,890,900,875,825,760,650
E07000171,Bassetlaw,425,435,410,420,510,475
E06000022,Bath and North East Somerset,895,870,875,1000,885,835
E06000055,Bedford,895,880,925,850,960,965
N09000003,Belfast,1205,1065,1315,1145,1435,1055
E09000004,Bexley,1380,1255,1540,1190,1290,1185
E08000025,Birmingham,6325,8635,7430,6485,6855,6670
E07000129,Blaby,435,485,480,520,460,470
E06000008,Blackburn with Darwen,840,625,705,800,1105,815
E06000009,Blackpool,660,550,575,660,540,795
W06000019,Blaenau Gwent,155,145,185,205,215,195
E07000033,Bolsover,215,290,270,220,245,240
E08000001,Bolton,1755,2050,1870,1595,2075,1535
E07000136,Boston,240,310,285,255,265,320
E06000058,Bournemouth Christchurch and Poole,1980,1990,1930,1875,2085,1935
E06000036,Bracknell Forest,625,570,605,500,535,520
E08000032,Bradford,2080,2085,2230,2155,2360,2575
E07000067,Braintree,690,615,655,655,720,655
E07000143,Breckland,490,425,440,415,485,470
E09000005,Brent,2570,2755,2860,2690,2735,2445
E07000068,Brentwood,560,565,600,495,520,470
W06000013,Bridgend,445,450,510,535,770,745
E06000043,Brighton and Hove,2020,2775,2720,2885,2360,2165
E06000023,Bristol City of,2430,2415,2725,2430,2440,2540
E07000144,Broadland,600,425,415,445,490,445
E09000006,Bromley,2445,2125,2075,1840,1880,1870
E07000234,Bromsgrove,4045,1835,5035,1655,745,500
E07000095,Broxbourne,550,635,590,580,565,560
E07000172,Broxtowe,495,410,370,360,645,505
E06000060,Buckinghamshire,3345,3340,6750,3070,3285,3075
E07000117,Burnley,285,590,400,345,320,380
E08000002,Bury,2790,1735,1090,980,1645,1050
W06000018,Caerphilly,480,870,645,570,680,575
E08000033,Calderdale,900,1250,1030,870,1135,1235
E07000008,Cambridge,585,545,615,595,570,560
E09000007,Camden,5130,5815,5360,5100,5600,4935
E07000192,Cannock Chase,405,375,390,325,870,390
E07000106,Canterbury,610,600,645,595,670,650
W06000015,Cardiff,1500,1425,1555,1545,2355,2115
E07000028,Carlisle,385,370,375,500,505,505
W06000010,Carmarthenshire,600,590,585,705,815,630
E07000069,Castle Point,380,410,380,370,410,400
N09000004,Causeway Coast and Glens,510,370,375,375,470,335
E06000056,Central Bedfordshire,2205,2160,1485,1285,1450,1315
W06000008,Ceredigion,215,185,225,190,225,225
E07000130,Charnwood,835,860,775,625,905,905
E07000070,Chelmsford,960,1005,990,860,1010,965
E07000078,Cheltenham,565,595,635,550,595,525
E07000177,Cherwell,750,760,750,755,865,800
E06000049,Cheshire East,4205,2070,2090,2055,2020,1985
E06000050,Cheshire West and Chester,1625,1605,1560,1565,1690,1475
E07000034,Chesterfield,320,325,405,505,350,355
E07000225,Chichester,660,625,600,590,675,605
E07000118,Chorley,475,460,525,620,700,480
S12000036,City of Edinburgh,2405,2550,2590,2010,2220,2270
E09000001,City of London,5045,4085,3525,2005,2030,1875
S12000005,Clackmannanshire,140,130,135,125,125,140
E07000071,Colchester,840,910,1165,845,910,910
W06000003,Conwy,380,345,360,400,465,390
E07000029,Copeland,195,220,190,175,180,135
E06000052,Cornwall,2110,2065,2190,2160,2725,2345
E07000079,Cotswold,500,540,530,525,560,470
E06000047,County Durham,1565,1565,1650,1775,1810,1805
E08000026,Coventry,1435,1540,1530,1495,1685,2030
E07000163,Craven,270,240,215,205,230,245
E07000226,Crawley,505,500,500,460,540,475
E09000008,Croydon,2360,2345,2340,2230,2450,2315
E07000096,Dacorum,1005,945,945,865,970,935
E06000005,Darlington,410,645,445,350,570,415
E07000107,Dartford,635,670,880,745,650,655
W06000004,Denbighshire,300,265,600,335,430,310
E06000015,Derby,1025,1080,1085,1035,1190,1140
E07000035,Derbyshire Dales,320,280,330,290,350,305
N09000005,Derry City and Strabane,470,475,430,425,455,420
E08000017,Doncaster,1415,1535,1735,1705,1735,1985
E06000059,Dorset,1455,1430,1450,1410,1705,1530
E07000108,Dover,395,390,425,475,430,390
E08000027,Dudley,1160,1170,1405,1085,1600,1390
S12000006,Dumfries and Galloway,340,385,365,310,375,400
S12000042,Dundee City,440,480,480,455,440,490
E09000009,Ealing,3000,2860,2780,2675,2745,2535
S12000008,East Ayrshire,415,345,370,315,375,345
E07000009,East Cambridgeshire,380,340,365,300,345,350
E07000040,East Devon,565,530,505,585,605,625
S12000045,East Dunbartonshire,365,355,325,305,320,345
E07000085,East Hampshire,650,625,650,650,730,595
E07000242,East Hertfordshire,3375,2235,920,830,900,835
E07000137,East Lindsey,415,415,420,465,475,430
S12000010,East Lothian,355,335,355,250,320,305
S12000011,East Renfrewshire,320,345,335,280,340,325
E06000011,East Riding of Yorkshire,1305,1340,1325,1285,1430,1350
E07000193,East Staffordshire,470,500,520,515,550,525
E07000244,East Suffolk,915,895,880,880,1050,845
E07000061,Eastbourne,390,365,485,630,440,380
E07000086,Eastleigh,1220,1565,1035,685,575,555
E07000030,Eden,185,160,180,215,205,210
E07000207,Elmbridge,1190,1050,1100,990,1045,900
