code,region,2017,2018,2019,2020,2021,2022
S12000033,Aberdeen City,1170,1005,960,1030,1200,1205
S12000034,Aberdeenshire,1210,1005,1155,1135,1240,1265
E07000223,Adur,240,220,250,215,235,240
E07000026,Allerdale,370,325,365,300,435,370
E07000032,Amber Valley,470,380,410,395,395,440
S12000041,Angus,365,335,365,330,330,400
N09000001,Antrim and Newtownabbey,260,260,305,285,440,350
N09000011,Ards and North Down,345,320,390,340,420,450
S12000035,Argyll and Bute,300,255,255,210,240,280
N09000002,Armagh City Banbridge and Craigavon,450,425,530,425,470,575
E07000224,Arun,575,545,540,540,555,705
E07000170,Ashfield,300,325,375,300,310,395
E07000105,Ashford,685,510,675,665,825,685
E07000200,Babergh,355,310,340,310,375,375
E09000002,Barking and Dagenham,1295,1170,1100,1080,1290,1455
E09000003,Barnet,3345,2775,2960,3020,2915,4080
E08000016,Barnsley,785,730,780,735,945,970
E07000027,Barrow-in-Furness,250,215,265,245,335,245
E07000066,Basildon,970,905,950,940,1060,1050
E07000084,Basingstoke and Deane,800,735,770,880,995,970
E07000171,Bassetlaw,430,410,395,360,415,440
E06000022,Bath and North East Somerset,815,720,760,770,930,945
E06000055,Bedford,895,760,790,710,870,1025
N09000003,Belfast,845,805,955,830,1085,1030
E09000004,Bexley,1350,1205,1075,1240,1275,1385
E08000025,Birmingham,6735,7290,5495,7820,5705,6175
E07000129,Blaby,495,365,345,385,590,470
E06000008,Blackburn with Darwen,550,550,530,495,565,855
E06000009,Blackpool,605,465,575,495,560,565
W06000019,Blaenau Gwent,190,120,160,125,190,170
E07000033,Bolsover,1875,205,245,200,200,260
E08000001,Bolton,1225,1085,1800,1310,1845,1895
E07000136,Boston,240,235,225,225,220,265
E06000058,Bournemouth Christchurch and Poole,1685,1610,1705,1650,1635,1935
E06000036,Bracknell Forest,575,550,500,510,560,565
E08000032,Bradford,2060,1695,1795,1770,1930,2255
E07000067,Braintree,655,585,620,575,670,735
E07000143,Breckland,455,450,445,390,395,450
E09000005,Brent,2205,2035,2030,2110,2260,2565
E07000068,Brentwood,525,470,530,590,505,560
W06000013,Bridgend,500,395,440,470,525,585
E06000043,Brighton and Hove,1640,1475,1685,1725,2130,2200
E06000023,Bristol City of,2240,1940,2080,2040,2410,2380
E07000144,Broadland,435,855,425,370,405,505
E09000006,Bromley,2000,1815,1950,1985,2070,2005
E07000234,Bromsgrove,535,4955,1920,2550,4360,610
E07000095,Broxbourne,540,445,510,475,545,550
E07000172,Broxtowe,500,975,350,315,330,540
E06000060,Buckinghamshire,3225,2885,6190,3045,3205,3620
E07000117,Burnley,315,295,270,280,280,335
E08000002,Bury,1470,1615,1960,1285,1325,1280
W06000018,Caerphilly,470,420,435,590,625,570
E08000033,Calderdale,890,820,995,1040,1100,980
E07000008,Cambridge,530,485,495,470,475,555
E09000007,Camden,3460,3350,3985,3830,4070,4275
E07000192,Cannock Chase,355,335,355,295,340,625
E07000106,Canterbury,615,510,535,545,545,615
W06000015,Cardiff,1470,1305,1225,1315,1515,1645
E07000028,Carlisle,445,320,355,325,380,525
W06000010,Carmarthenshire,675,505,540,490,650,700
E07000069,Castle Point,440,375,380,485,405,380
N09000004,Causeway Coast and Glens,290,280,330,285,310,375
E06000056,Central Bedfordshire,4520,1450,2695,1435,1310,1490
W06000008,Ceredigion,240,195,220,205,180,185
E07000130,Charnwood,1460,975,730,715,615,900
E07000070,Chelmsford,845,800,880,910,890,965
E07000078,Cheltenham,555,475,560,595,635,600
E07000177,Cherwell,615,585,640,645,705,810
E06000049,Cheshire East,2485,3845,1980,1905,1950,2135
E06000050,Cheshire West and Chester,1580,1450,1515,1540,1740,1650
E07000034,Chesterfield,385,300,325,300,480,355
E07000225,Chichester,615,555,575,570,595,635
E07000118,Chorley,485,450,420,390,590,600
